COUNTRY,WB COUNTRY CODE,YEAR,WB REGION,WB INCOME GROUP,DEPOSIT MONEY BANK ASSETS to (DEPOSIT MONEY + CENTRAL) BANK ASSETS (%),LIQUID LIABILITIES to GDP (%),CENTRAL BANK ASSETS to GDP (%),DEPOSIT MONEY BANK ASSETS to GDP (%),OTHER FINANCIAL INSTITUTIONS ASSETS to GDP (%),PRIVATE CREDIT BY DEPOSIT MONEY BANKS to GDP (%),PRIVATE CREDIT BY DEPOSIT MONEY BANKS AND OTHER FINANCIAL INSTITUTIONS to GDP (%),BANK DEPOSITS to GDP (%),FINANCIAL SYSTEM DEPOSITS to GDP (%),BANK CREDIT to BANK DEPOSITS (%),LIQUID LIABILITIES (IN MIL. 2010 USD),BANK OVERHEAD COSTS to TOTAL ASSETS (%),NET INTEREST MARGIN (%),BANK CONCENTRATION (%),BANK ROA,BANK ROE,BANK COST to INCOME RATIO (%),BANK Z-SCORE,LIFE INSURANCE PREMIUM VOLUME to GDP (%),NON-LIFE INSURANCE PREMIUM VOLUME to GDP (%),STOCK MARKET CAPITALIZATION to GDP (%),STOCK MARKET TOTAL VALUE TRADED to GDP (%),STOCK MARKET TURNOVER RATIO (%),NO. OF LISTED COMPANIES PER 10K POPULATION,PRIVATE BOND MARKET CAPITALIZATION to GDP (%),PUBLIC BOND MARKET CAPITALIZATION to GDP (%),INTERNATIONAL DEBT ISSUES to GDP (%),LOANS FROM NON-RESIDENT BANKS (NET) to GDP (%),LOANS FROM NON-RESIDENT BANKS (AMT OUTSTANDING) to GDP (%),OFFSHORE BANK DEPOSITS to DOMESTIC BANK DEPOSITS (%),REMITTANCE INFLOWS to GDP (%)
Cambodia,KHM,2003,East Asia & Pacific,Lower middle income,82.44521,16.86099,1.45729,6.844089,,6.482273,6.482273,12.29479,12.29479,52.72372,996.5448,3.129165,5.034879,64.60826,2.060779,12.82823,47.08208,13.03586,,0.1729944,,,,,,,,,0.923094,9.603266,2.752108
Cambodia,KHM,2004,East Asia & Pacific,Lower middle income,85.96591,17.98836,1.325767,8.120991,,7.658279,7.658279,13.13492,13.13492,58.30474,1225.497,2.965066,4.865015,61.91249,1.894615,12.24473,47.92628,11.78996,,0.169355,,,,,,,,,0.7681019,9.55614,2.76142
Cambodia,KHM,2005,East Asia & Pacific,Lower middle income,88.32923,18.09574,1.133543,8.579126,,8.231255,8.231255,13.34052,13.34052,61.70115,1344.08,3.520289,6.899442,60.61366,3.030898,18.87856,44.057,14.31232,,0.1414259,,,,,,,,,0.85809,8.218931,2.601284
Cambodia,KHM,2006,East Asia & Pacific,Lower middle income,91.03806,20.10522,0.9867689,10.0239,,9.866849,9.866849,15.19517,15.19517,64.93411,1867.219,3.227488,7.548738,59.89514,3.887141,22.52045,38.29058,15.01108,,0.1391142,,,,,,,,,1.347186,7.689613,2.525226
Cambodia,KHM,2007,East Asia & Pacific,Lower middle income,94.18444,25.62708,0.8614099,13.95075,,13.90335,13.90335,20.4869,20.4869,67.86458,2945.457,3.196624,7.550679,70.24634,3.802229,24.42488,39.16033,12.94962,,0.1688806,,,,,,,,,3.623035,7.91,2.150653
Cambodia,KHM,2008,East Asia & Pacific,Lower middle income,96.46311,30.40376,0.77139,21.03843,,21.01328,21.01328,24.72436,24.72436,84.99018,3043.665,3.503884,8.4191,72.19427,3.279142,20.22512,40.3267,14.67849,,0.1611297,,,,,,,,,2.347411,4.80573,1.815297
Cambodia,KHM,2009,East Asia & Pacific,Lower middle income,97.32676,32.57553,0.6538731,23.80607,,23.78769,23.78769,26.32406,26.32406,90.36483,3932.479,3.552733,6.762928,68.06255,1.560325,8.68851,54.13706,14.11497,,0.1603561,,,,,,,,,5.74893,4.747663,1.367194
Cambodia,KHM,2010,East Asia & Pacific,Lower middle income,97.6519,37.96817,0.6018993,25.03163,,25.01451,25.01451,31.36886,31.36886,79.74311,4832.056,3.150855,6.575201,64.88535,1.525291,8.128179,52.57831,14.57614,,0.1729187,,,,,,,,,3.460156,4.423557,4.958571
Cambodia,KHM,2011,East Asia & Pacific,Lower middle income,98.00264,38.93298,0.5493996,26.95697,,26.94176,26.94176,32.09626,32.09626,83.94048,4892.332,3.179295,6.822964,56.85011,2.204147,11.90491,48.80555,14.37791,,0.1834049,,,,,,,,,3.834899,5.415509,4.759716
Cambodia,KHM,2012,East Asia & Pacific,Lower middle income,98.47719,43.25425,0.503346,32.55039,,32.52691,32.52691,36.34974,36.34974,89.4832,6777.533,3.02124,6.567776,55.04861,2.3413,13.33008,47.9206,13.79245,,0.1979848,,,,,,,,,9.520121,4.189554,6.083792
Cambodia,KHM,2013,East Asia & Pacific,Lower middle income,98.9553,51.21554,0.4621062,43.77111,0.7968395,43.73353,44.13186,44.28364,44.28364,98.75776,8134.413,2.903352,6.22741,53.27003,2.214303,12.63206,46.8979,14.20934,,0.2171869,,,,,,,,,11.05738,3.994404,6.588698
Cambodia,KHM,2014,East Asia & Pacific,Lower middle income,99.01505,59.91651,0.5515111,55.44221,0.8731155,55.39949,56.27245,52.01763,52.01763,106.5014,10407.76,2.787742,5.936111,54.87017,2.174867,12.7882,46.86835,13.09509,0.0448712,0.2546289,,,,,,,,,,8.917553,6.604495
Cambodia,KHM,2015,East Asia & Pacific,Lower middle income,99.1425,67.37417,0.5704715,65.95733,1.002262,65.91638,66.91854,59.10812,59.10812,111.5183,12158.71,2.625043,6.588337,41.91601,2.337639,14.34376,44.00491,13.18169,0.1217107,0.2687571,,,,,,,,,,4.785833,6.567721
Cambodia,KHM,2016,East Asia & Pacific,Lower middle income,99.30512,72.29523,0.5196659,74.26594,1.256026,74.2197,75.47513,64.40985,64.40985,115.2303,14437.97,2.372193,6.148181,40.18404,1.922347,11.97963,44.77931,12.58622,0.060903,0.2701888,,,,,,,,,,3.52,5.993653
Cambodia,KHM,2017,East Asia & Pacific,Lower middle income,99.35179,79.95078,0.5230875,80.17399,1.57538,80.11888,81.69292,71.61044,71.61044,111.8816,17425.04,2.084197,5.535107,44.76167,1.764253,10.96858,43.23637,12.78158,0.0828418,0.2622871,,,,,,,,,,5.432596,5.838058
China,CHN,1977,East Asia & Pacific,Upper middle income,,26.89085,,,,,,,,,175126.1,,,,,,,,,,,,,,,,,,,,
China,CHN,1978,East Asia & Pacific,Upper middle income,,24.05112,,,,,,,,,182639.4,,,,,,,,,,,,,,,,,,,,
China,CHN,1979,East Asia & Pacific,Upper middle income,,27.18743,,,,,,,,,253598.4,,,,,,,,,,,,,,,,,,,,
China,CHN,1980,East Asia & Pacific,Upper middle income,,32.77282,,,,,,,,,277340.8,,,,,,,,,,,,,,,,,,0.0130788,,
China,CHN,1981,East Asia & Pacific,Upper middle income,,36.80259,,,,,,,,,264187,,,,,,,,,,,,,,,,,,0.0127638,,
China,CHN,1982,East Asia & Pacific,Upper middle income,,39.10044,,,,,,,,,264630.5,,,,,,,,,,,,,,,,,,0.0433956,,0.301
China,CHN,1983,East Asia & Pacific,Upper middle income,,40.95043,,,,,,,,,296308.8,,,,,,,,,,,,,,,,,,0.0654567,,0.2349506
China,CHN,1984,East Asia & Pacific,Upper middle income,,42.95802,,,,,,,,,267917.7,,,,,,,,,,,,,,,,,0.0319296,0.0861716,,0.1550319
China,CHN,1985,East Asia & Pacific,Upper middle income,94.38702,53.10075,3.850564,64.75049,,64.75049,64.75049,18.4838,18.4838,350.3094,305345,,,,,,,,,,,,,,,,,0.0665615,0.3547795,,0.087564
China,CHN,1986,East Asia & Pacific,Upper middle income,94.14856,52.92226,4.014735,64.59626,,64.59626,64.59626,18.5679,18.5679,347.8922,338319.1,,,,,,,,,,,,,,,,,0.0518689,0.872462,,0.1480525
China,CHN,1987,East Asia & Pacific,Upper middle income,93.241,58.24366,5.030654,69.39837,,69.39837,69.39837,20.00227,20.00227,346.9525,406046.8,,,,,,,,,,,,,,,,1.529354,0.1333465,1.588069,,0.0835394
China,CHN,1988,East Asia & Pacific,Upper middle income,92.56279,57.70478,5.341332,66.47766,,66.47766,66.47766,18.5777,18.5777,357.8358,469234.5,,,,,,,,,,,,,,,,1.447205,0.0621091,1.617718,,0.1044777
China,CHN,1989,East Asia & Pacific,Upper middle income,92.57157,61.81881,5.631186,70.17473,,70.17473,70.17473,17.59851,17.59851,398.7538,419363.3,,,,,,,,,,,,,,,,1.389902,0.0287548,1.400646,,0.0543063
China,CHN,1990,East Asia & Pacific,Upper middle income,92.7796,68.30077,5.867191,75.39146,,75.39146,75.39146,17.69551,17.69551,426.0484,460553.1,,,,,,,,,,,,,,3.262599,2.482824,1.378887,,1.406371,,0.0542984
China,CHN,1991,East Asia & Pacific,Upper middle income,92.7535,74.52876,6.102244,78.10725,,78.10725,78.10725,19.70445,19.70445,396.3939,543984.1,,,,,,,,,,,,,1.216566,2.916551,2.282834,1.401505,0.0057385,1.442458,,0.1016816
China,CHN,1992,East Asia & Pacific,Upper middle income,92.71928,77.41983,5.950979,75.78521,,75.78521,75.78521,21.1823,21.1823,357.7761,653290.8,,,,,,,,0.2670644,0.6036386,2.400294,2.072458,164.7594,4.463634,2.798895,2.3656,1.12508,0.0365412,1.357177,,0.1450825
China,CHN,1993,East Asia & Pacific,Upper middle income,93.33507,82.72454,5.600842,78.43372,,78.33794,78.33794,22.59797,22.59797,346.6592,924800.1,,,,,,,,0.4011135,0.6016711,6.568104,8.414067,149.9866,10.35267,2.816775,2.674251,2.188579,0.1524516,2.59595,,0.1419689
China,CHN,1994,East Asia & Pacific,Upper middle income,94.11792,85.82356,4.921604,78.74963,,78.21456,78.21456,22.98103,22.98103,340.344,813348,,,,,,,,0.3379573,0.6247099,8.12923,9.433482,214.5285,17.03256,2.579105,2.76459,2.41359,0.1229789,2.832767,,0.1518629
China,CHN,1995,East Asia & Pacific,Upper middle income,95.20495,88.53379,3.877525,76.98764,,75.74016,75.74016,22.71803,22.71803,333.3922,1042804,,,,,,,,0.4062456,0.6012449,6.283241,10.23189,108.8135,26.8082,2.514722,2.97893,1.955743,-0.0318563,2.225314,1.751612,0.0476484
China,CHN,1996,East Asia & Pacific,Upper middle income,96.2917,96.01276,3.173052,82.3931,,80.38268,80.38268,23.83844,23.83844,337.1977,1267271,1.736473,3.290315,40.68904,1.478777,16.74379,43.68291,27.60038,0.4618431,0.626886,9.28365,22.21449,322.1203,43.03725,2.889285,3.551755,1.805861,0.0823158,2.011585,1.456991,0.1935753
China,CHN,1997,East Asia & Pacific,Upper middle income,97.29668,105.623,2.513537,90.46601,,88.36312,88.36312,26.77192,26.77192,330.059,1507676,1.674599,3.443308,34.42785,1.535233,17.89799,40.68719,26.8242,0.7885055,0.6073111,16.84292,35.57063,230.3293,64.95539,3.511201,4.215073,2.003118,0.0107113,2.143398,1.477627,0.4772235
China,CHN,1998,East Asia & Pacific,Upper middle income,98.05067,115.7345,2.015942,101.4018,,97.57799,97.57799,29.48166,29.48166,330.9786,1705130,1.664125,2.860754,34.22173,0.9685332,11.68457,52.36214,24.59382,0.7821255,0.598309,21.37835,31.91021,130.6618,73.19224,5.011846,5.385519,1.88504,0.0577235,2.037913,1.41671,0.0334291
China,CHN,1999,East Asia & Pacific,Upper middle income,98.34659,124.5225,1.85177,110.1452,,104.0625,104.0625,32.33994,32.33994,321.7772,1903912,2.025565,2.552899,33.05438,0.4820793,6.378883,71.09171,20.16265,0.8479501,0.5850682,25.83541,22.61547,134.741,75.5946,6.442331,6.797739,1.790487,0.0430531,1.948817,1.788874,0.0484462
China,CHN,2000,East Asia & Pacific,Upper middle income,98.51839,127.5704,1.677127,111.519,,104.8335,104.8335,35.14862,35.14862,298.2577,2069033,1.722245,2.454625,32.14683,0.4305397,6.458072,66.34027,18.38074,0.8627613,0.604261,38.09052,61.5984,158.0568,86.00993,7.505644,9.054392,1.594584,0.0797459,1.770178,2.491241,0.0625817
China,CHN,2001,East Asia & Pacific,Upper middle income,98.16158,131.4314,2.117922,113.0851,,104.7949,104.7949,37.13548,37.13548,282.1963,2344065,1.12089,2.076749,41.82089,0.4507859,8.956564,52.77524,11.08387,1.166198,0.621212,41.63976,45.36302,81.37975,90.73397,7.909713,9.913988,1.476771,0.0545022,1.702559,2.335587,0.0902646
China,CHN,2002,East Asia & Pacific,Upper middle income,97.93888,135.8331,2.480006,117.8431,,107.8196,107.8196,39.81133,39.81133,270.8264,2590355,1.942391,4.003438,68.9333,0.6486105,17.40345,47.93756,9.384588,1.701896,0.6322565,33.87412,27.12786,67.69302,95.51703,9.849241,13.3944,1.342516,-0.0573935,1.596341,2.241199,0.1600129
China,CHN,2003,East Asia & Pacific,Upper middle income,98.23392,139.2345,2.219908,123.4775,,113.1423,113.1423,42.30022,42.30022,267.4745,3031971,1.599172,3.478344,74.79902,0.6765454,19.36108,45.04452,12.88793,0.8509285,0.6258194,30.23065,21.71794,77.30417,99.73611,11.45133,14.97644,1.338511,0.1562982,1.645799,2.668782,0.2785861
China,CHN,2004,East Asia & Pacific,Upper middle income,98.46226,139.815,1.917302,122.7655,,112.3683,112.3683,42.77705,42.77705,262.6837,3373593,0.9852244,2.154501,69.68111,0.4441263,8.049138,43.74765,9.752222,1.748226,0.6700302,24.69356,23.06634,105.9338,105.9352,16.84024,14.83296,1.352255,0.1945946,1.579771,3.072427,0.3396441
China,CHN,2005,East Asia & Pacific,Upper middle income,98.63849,139.1585,1.607558,116.4643,,106.3095,106.3095,41.73905,41.73905,254.7003,3905662,1.260679,2.660793,68.05865,0.5993978,19.8046,43.74176,12.82423,1.715045,0.6505443,18.74046,19.95796,91.58876,105.6208,24.53466,14.60036,1.265516,0.0715234,1.457983,2.868445,0.1459804
China,CHN,2006,East Asia & Pacific,Upper middle income,98.8161,141.5281,1.326212,110.6945,,101.1135,101.1135,40.97277,40.97277,246.7821,4807033,0.839396,1.837664,66.60645,0.8092702,15.65987,42.47541,18.11745,1.623958,0.6827106,28.05675,28.11955,150.0975,108.3889,29.01924,13.30131,1.102542,0.0265976,1.317306,3.26394,0.1569508
China,CHN,2007,East Asia & Pacific,Upper middle income,96.82258,137.3914,3.470704,105.7594,,96.28719,96.28719,40.46881,40.46881,237.9293,5763549,1.461083,3.626734,54.55892,1.270949,19.92991,36.36377,20.36933,1.642588,0.7346475,78.44847,103.5386,226.3921,116.0951,28.63627,17.33798,1.155586,0.0140831,1.472055,5.270947,0.192464
China,CHN,2008,East Asia & Pacific,Upper middle income,95.35847,139.7504,5.191513,106.6577,,97.23568,97.23568,40.41562,40.41562,240.5894,7248382,1.406,3.231702,52.28784,1.018972,18.18648,39.32465,18.41165,2.083855,0.7303933,74.27061,119.987,114.4433,121.0881,32.99849,15.72479,1.051835,-0.0210913,1.213698,4.444541,0.1988667
China,CHN,2009,East Asia & Pacific,Upper middle income,96.27774,154.3454,4.548232,117.6418,,107.935,107.935,44.80742,44.80742,240.8864,9070496,1.069535,2.283056,51.10757,1.005661,18.16549,41.13609,17.12613,2.132164,0.8219292,52.40236,114.9105,292.9132,127.6986,33.36503,16.25491,0.945648,0.0358508,1.151086,3.009439,0.180518
China,CHN,2010,East Asia & Pacific,Upper middle income,97.07645,161.8223,3.781072,125.5507,,115.6735,115.6735,49.06577,49.06577,235.752,1.10E+07,1.081575,2.73102,48.51664,1.140012,20.01029,38.13843,19.17122,2.357333,0.9484978,62.42198,132.2427,217.3245,154.2194,32.68262,16.12077,1.181045,0.1719356,1.340361,2.856752,0.224013
China,CHN,2011,East Asia & Pacific,Upper middle income,97.51956,163.4373,3.20358,125.9504,,116.296,116.296,47.8136,47.8136,243.2278,1.31E+07,1.168222,3.175756,46.59615,0.7928047,13.14366,37.99469,18.57917,1.789902,0.9505431,51.08444,102.6273,173.0069,174.2391,30.24993,15.70389,1.56934,0.0979408,1.706654,2.842069,0.219405
China,CHN,2012,East Asia & Pacific,Upper middle income,97.84904,168.972,2.84964,129.6329,,119.8384,119.8384,45.65777,45.65777,262.4709,1.48E+07,0.8676056,2.67905,67.98183,0.9638915,15.59664,33.59206,19.43954,1.646614,0.9851542,42.21325,69.78098,139.5773,184.6457,34.22539,15.3121,2.040006,0.2219584,2.186193,3.008867,0.2000136
China,CHN,2013,East Asia & Pacific,Upper middle income,98.12785,174.6928,2.577613,135.1043,,125.1567,125.1567,44.73667,44.73667,279.7631,1.71E+07,1.003983,2.976491,66.78307,1.121842,17.94065,33.51548,19.8399,1.578825,1.041509,40.42944,67.01308,198.9005,183.368,34.81606,16.26344,2.863003,0.3563694,3.033967,2.974767,0.1858866
China,CHN,2014,East Asia & Pacific,Upper middle income,98.3534,180.8307,2.375557,141.8948,,131.5681,131.5681,43.8858,43.8858,299.7966,1.87E+07,0.9366732,2.839662,40.12114,1.08868,16.99613,31.19892,20.51106,1.684473,1.113966,47.90736,94.58664,239.1472,191.531,37.63875,16.41849,4.134361,0.4625269,4.295107,3.332985,0.2865394
China,CHN,2015,East Asia & Pacific,Upper middle income,98.58092,187.7215,2.20079,152.8852,,139.9235,139.9235,44.80175,44.80175,312.317,1.99E+07,1.652261,4.073447,38.42558,1.54481,22.44092,36.3278,22.99544,1.893732,1.143321,64.10431,231.5295,556.9124,206.1668,46.14816,21.40496,4.765581,0.3170429,4.89926,3.895456,0.4034781
China,CHN,2016,East Asia & Pacific,Upper middle income,98.78422,197.9968,2.069647,168.1619,,149.1961,149.1961,50.84575,50.84575,293.4289,2.02E+07,0.885106,2.285603,37.28126,0.9616162,13.82809,33.26627,21.1947,2.337113,1.172766,67.60167,249.1731,242.2664,221.3736,52.66253,28.87624,5.696302,0.3473082,5.855209,3.76588,0.3162664
China,CHN,2017,East Asia & Pacific,Upper middle income,98.93082,197.9303,1.886258,174.5349,,150.5992,150.5992,54.68283,54.68283,275.4049,2.29E+07,0.8636177,2.30042,37.17649,0.9868173,13.6175,32.19803,22.93004,2.649585,1.214499,65.49665,144.6856,215.8974,251.3714,57.47195,35.05677,7.198124,0.6103928,7.394191,3.297229,0.2361428
Indonesia,IDN,1969,East Asia & Pacific,Lower middle income,,8.030577,,,,,,,,,4101.735,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1970,East Asia & Pacific,Lower middle income,,6.125815,,,,,,,,,4676.586,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1971,East Asia & Pacific,Lower middle income,,7.688856,,,,,,,,,5885.378,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1972,East Asia & Pacific,Lower middle income,,8.795216,,,,,,,,,8214.162,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1973,East Asia & Pacific,Lower middle income,,9.177684,,,,,,,,,11294.46,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1974,East Asia & Pacific,Lower middle income,,9.670658,,,,,,,,,14806.29,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,1975,East Asia & Pacific,Lower middle income,,10.38086,,,,,,,,,19003.6,,,,,,,,,,,,,,,,,0.0590864,0.0590864,,
Indonesia,IDN,1976,East Asia & Pacific,Lower middle income,,11.1576,,,,,,,,,23775.46,,,,,,,,,,,,,,,,,,0.0482973,,
Indonesia,IDN,1977,East Asia & Pacific,Lower middle income,,11.33059,,,,,,,,,26628.22,,,,,,,,,,,,,,,,,,0.0392937,,
Indonesia,IDN,1978,East Asia & Pacific,Lower middle income,,11.21249,,,,,,,,,19725.46,,,,,,,,,,,,,,,,,,0.2409839,,
Indonesia,IDN,1979,East Asia & Pacific,Lower middle income,,10.37176,,,,,,,,,23772.42,,,,,,,,,,,,,,,,,,0.3540843,,
Indonesia,IDN,1980,East Asia & Pacific,Lower middle income,64.43277,10.4014,4.73052,8.569699,,6.490673,6.490673,8.22251,8.22251,78.93785,31492.4,,,,,,,,,,,,,4.069235,,,0.2845398,,0.3049019,,
Indonesia,IDN,1981,East Asia & Pacific,Lower middle income,67.19281,12.65478,4.80444,9.840031,,7.506894,7.506894,8.993944,8.993944,83.46609,35550.93,,,,,,,,,,,,,5.300181,,,0.2852759,,0.2923353,,
Indonesia,IDN,1982,East Asia & Pacific,Lower middle income,71.53413,14.19305,5.087396,12.78452,,9.810147,9.810147,10.19599,10.19599,96.21578,36322.38,,,,,,,,,,,,,8.41597,,,0.5957455,0.0831869,0.6133646,,
Indonesia,IDN,1983,East Asia & Pacific,Lower middle income,77.11974,14.13511,4.061222,13.68866,,10.60947,10.60947,10.48682,10.48682,101.1695,32221.8,,,,,,,,,,,,,14.55611,,,1.037095,,1.06968,,0.0123377
Indonesia,IDN,1984,East Asia & Pacific,Lower middle income,86.07394,15.31089,2.541275,15.70707,,11.99366,11.99366,11.82888,11.82888,101.393,35185.39,,,,,,,,,,,,,14.85853,,,0.9294685,,0.9463347,,0.0624604
Indonesia,IDN,1985,East Asia & Pacific,Lower middle income,91.46683,17.55741,1.717687,18.41184,,13.98645,13.98645,13.89818,13.89818,100.6351,41765.64,,,,,,,,,,,,,14.547,,,0.9053717,-0.051589,0.9192223,,0.0715211
Indonesia,IDN,1986,East Asia & Pacific,Lower middle income,89.65623,19.70354,2.325765,20.15892,,15.82683,15.82683,15.68028,15.68028,100.9346,33837.93,,,,,,,,,,,,,14.25396,,,1.374879,,1.439577,,0.088801
Indonesia,IDN,1987,East Asia & Pacific,Lower middle income,87.31341,19.81915,2.971186,20.4487,,16.73504,16.73504,15.96298,15.96298,104.8366,39568.12,,,,,,,,,,,,,13.97764,,,1.545581,-0.0237062,1.618604,,0.1132628
Indonesia,IDN,1988,East Asia & Pacific,Lower middle income,87.95159,21.35261,3.169387,23.13607,,19.47125,19.47125,17.73692,17.73692,109.7781,44904.54,,,,,,,,,,,,,13.71617,,,1.505926,0.1909842,1.540922,,0.1174375
Indonesia,IDN,1989,East Asia & Pacific,Lower middle income,90.05901,23.5801,3.007181,27.24315,,23.51604,23.51604,20.10109,20.10109,116.9888,57110.57,,,,,,,,,,1.210402,0.2632918,44.05481,31.98489,,,1.196776,,1.220733,,0.1768105
Indonesia,IDN,1990,East Asia & Pacific,Lower middle income,92.41338,28.35236,2.850073,34.71703,,31.42713,31.42713,24.87329,24.87329,126.3489,73549.86,,,,,,,,0.2159646,0.6093713,4.392212,1.916915,79.42928,67.80094,,,1.548006,0.2214042,1.610126,,0.1563961
Indonesia,IDN,1991,East Asia & Pacific,Lower middle income,94.27408,30.80836,2.371716,39.04894,,35.97622,35.97622,27.6654,27.6654,130.0405,80038.74,,,,,,,,0.2248683,0.5733942,5.677567,2.63809,40.15488,75.30124,,,1.538566,0.0282965,1.608616,,0.1114713
Indonesia,IDN,1992,East Asia & Pacific,Lower middle income,94.85117,32.29922,2.126871,39.18095,,36.05519,36.05519,28.95172,28.95172,124.5356,89886.51,,,,,,,,0.2727,0.5681579,6.644701,2.411128,42.22263,81.49578,,,1.732361,0.2546338,1.769158,,0.1788686
Indonesia,IDN,1993,East Asia & Pacific,Lower middle income,94.71587,33.79247,2.219654,39.78643,,37.04643,37.04643,30.20708,30.20708,122.6415,102638.7,,,,,,,,0.3220373,0.5877922,14.14485,5.606879,40.97569,90.12258,,,1.323306,-0.0588583,1.357537,,0.2189781
Indonesia,IDN,1994,East Asia & Pacific,Lower middle income,95.68502,34.58649,1.868814,41.4411,,39.18375,39.18375,30.94636,30.94636,126.6183,115244.3,,,,,,,,0.41639,0.6705284,22.40171,5.839153,29.78031,111.9033,,,2.150757,0.1283268,2.229607,,0.253827
Indonesia,IDN,1995,East Asia & Pacific,Lower middle income,97.31879,36.11863,1.17297,42.57489,,40.49638,40.49638,32.47026,32.47026,124.7184,136618.9,,,,,,,,0.4458092,0.6971012,31.91175,6.40201,22.28486,120.3447,,,1.942456,0.2018483,2.005125,3.891348,0.3220667
